#HIP,PMRA,PMDE
4839,-8.17,-18.02
4840,6.06,-5.56
4841,98.72,-5.17
4842,17.9,-11.71
4843,24.04,-5.36
4844,-4.18,-13.36
4845,21.32,-178.72
4846,11.84,-9.15
4847,10.01,-26.1
4848,-6.06,27.92
4849,340.03,221.12
4850,68.54,43.35
4851,-2.8,-13.88
4852,81.0,15.25
4853,-2.86,-3.51
4854,-1.64,-17.44
4855,237.0,-32.06
4857,-28.21,-14.68
4856,1745.69,-380.43
4858,-23.8,-18.43
4859,9.77,-19.47
4860,24.42,-107.66
4861,35.94,27.62
4862,-1.44,-9.34
4863,-44.92,-42.85
4864,277.29,-0.5
4865,-6.63,11.5
4866,-0.86,-8.65
4867,99.61,30.19
4868,76.54,8.14
4869,38.98,-48.69
4871,0.11,-21.58
4870,21.04,15.41
4872,730.1,89.27
4873,48.19,-16.37
4874,281.85,-40.64
4875,5.61,-6.68
4877,-181.34,-143.32
4876,111.99,41.6
4878,66.28,-23.69
4879,8.53,3.68
4880,-10.22,5.92
4881,0.09,-2.53
4882,-35.05,-132.5
4883,-1.88,-7.71
4884,-3.91,-19.16
4885,92.09,5.68
4886,119.44,-9.78
4887,-15.66,-4.62
4888,20.55,-11.18
4889,15.53,-30.38
4890,-2.21,10.96
4891,12.86,-11.36
4892,-168.73,-105.44
4893,18.28,22.88
4894,-20.1,6.47
4895,125.46,107.41
4896,128.32,-73.73
4897,-1.25,0.12
4898,-4.21,-5.24
4900,396.35,-177.02
4899,6.19,7.72
4901,-15.63,-0.75
4902,10.89,-5.46
4903,-16.96,-16.95
4904,-159.76,-43.09
4905,25.37,6.27
4906,-80.57,25.88
4907,223.88,-148.38
4908,-11.67,-22.2
4909,2.82,16.74
4910,23.01,6.44
4911,86.92,-15.47
4912,3.97,-90.78
4913,12.41,-4.98
4914,-117.05,-102.91
4915,8.69,-34.7
4916,-3.93,11.96
4917,179.78,-75.29
4918,19.18,-4.44
4919,1.94,-3.73
4920,-6.19,-23.49
4921,-4.59,23.45
4922,8.52,-35.62
4923,14.74,-8.84
4924,18.75,-8.83
4925,-56.45,-31.79
4926,20.61,1.34
4928,17.39,-4.88
4927,671.78,44.46
4929,1.1,-18.44
4930,84.98,-65.48
4931,-3.3,-14.08
4932,-102.77,-31.82
4934,-119.1,-93.79
4933,-30.98,-34.14
4935,38.09,-2.52
4936,19.97,-25.5
4937,-25.04,-19.36
4938,-6.43,-33.93
4939,10.11,16.3
4940,14.44,7.89
4941,-34.24,-43.79
4942,-38.56,-6.3
4943,15.81,13.01
4944,19.78,-11.65
4945,23.53,-16.72
4946,-0.91,-0.13
4947,-11.63,-4.08
4948,64.49,-186.07
4949,-2.85,-10.82
4950,-11.3,-9.86
4951,-25.12,-86.65
4952,94.6,-64.11
4953,-12.97,-5.97
4954,2.52,19.74
4955,1.56,-24.88
4956,-1.16,-2.68
4957,-15.74,-0.28
4958,158.03,-75.99
4959,4.08,8.86
4960,12.91,-21.38
4962,-1.54,-2.96
4961,33.39,-14.92
4963,-21.36,-13.76
4964,-261.65,-1714.28
4965,64.62,-17.55
4966,-174.8,-62.41
4967,121.83,-167.16
4968,-24.98,-18.34
4969,147.08,-87.46
4970,-3.45,-4.36
4971,6.51,-9.1
4972,6.22,21.32
4973,12.87,6.62
4974,35.14,-33.59
4975,39.69,-12.59
4976,177.84,-33.68
4977,15.0,-16.81
4978,12.03,-13.38
4980,0.2,2.45
4979,122.42,-40.69
4981,-27.05,20.09
4982,28.45,-17.43
4983,-5.27,-2.68
4984,-7.81,-28.89
4985,-0.34,4.41
4986,15.92,-13.39
4987,-10.16,-3.37
4988,4.24,-1.51
4989,114.93,-46.49
4990,5.93,-2.48
4991,6.28,-3.12
4992,-7.19,-7.55
4993,11.82,-3.16
4994,25.82,-7.38
4995,23.62,14.09
4996,-6.25,-10.88
4997,74.8,-30.37
4998,1.44,-61.03
4999,11.06,-11.47
5000,-2.07,-1.51
5001,7.08,-4.02
5002,-20.21,-2.74
5003,26.89,3.87
5004,646.66,-266.67
5005,34.46,-27.74
5006,37.32,0.57
5007,-10.96,-12.12
5008,-3.6,-4.23
5009,116.05,-1.04
5010,22.71,-20.3
5011,351.22,-75.73
5012,128.71,-66.39
5013,35.75,-18.56
5014,117.21,10.38
5015,-0.06,-1.56
5016,-136.74,-63.27
5017,3.68,-15.73
5018,236.5,7.57
5020,31.81,-29.95
5019,1.51,-28.56
5021,-79.86,-24.77
5022,-19.86,-32.87
5023,12.28,-28.62
5024,8.46,-24.18
5025,-10.03,-44.28
5026,59.29,12.62
5027,-34.15,-316.8
5028,-35.36,-35.75
5029,-2.45,-10.31
5030,-9.72,-8.82
5031,-207.18,-136.37
5032,-19.52,-11.9
5033,111.19,2.8
