hip,ra,dec,plx,e_plx,pmra,pmdec,b_v,vmag,btmag,vtmag
699,2.17092314,36.62742794,30.26,0.69,-114.72,-124.6,0.504,6.21,6.808,6.271
700,2.17953436,-2.22257211,5.97,1.04,40.46,-4.43,0.963,7.05,8.297,7.179
701,2.18307102,74.21471191,6.36,0.66,47.07,21.98,-0.006,7.44,7.418,7.43
702,2.18732032,-52.32795054,5.07,1.56,8.48,-48.92,0.406,8.5,8.893,8.463
704,2.19110187,14.14205698,5.19,0.91,18.87,-33.4,1.125,7.84,9.282,7.954
703,2.19229374,-86.1885047,-2.92,2.5,4.79,6.34,1.5,11.01,,
706,2.19243127,-34.79438791,5.03,0.85,5.24,6.05,0.473,7.88,8.403,7.931
707,2.19477287,-66.75946527,3.19,0.96,-3.76,1.58,1.113,9.1,10.504,9.194
708,2.1951331,-36.74408179,6.86,1.05,-34.75,-37.51,0.471,8.65,9.162,8.702
705,2.1974024,86.78789828,16.24,0.7,331.45,-6.63,0.588,8.41,9.102,8.462
709,2.20171313,-47.06066168,8.58,0.86,100.36,-46.0,0.481,7.81,8.365,7.859
710,2.20309454,8.02174864,11.61,1.01,7.44,49.14,0.296,7.43,7.786,7.474
711,2.20465275,-7.89705908,0.97,1.18,42.57,-1.78,0.965,8.76,10.009,8.889
712,2.20791519,40.84104758,4.72,0.82,-9.2,-11.88,0.994,7.58,8.833,7.675
713,2.20792389,-60.26452754,4.78,1.13,-2.54,-15.53,0.473,9.55,10.091,9.601
714,2.2083263,40.49456869,3.19,0.76,7.09,-7.99,1.568,6.82,8.865,6.978
715,2.21598889,-25.54780455,1.8,1.68,35.82,20.37,0.46,10.24,10.705,10.301
716,2.21695394,25.46285169,7.78,0.81,104.61,54.77,0.976,6.24,7.488,6.355
717,2.21766632,0.69244524,1.36,1.53,5.08,3.16,1.43,7.31,9.204,7.491
718,2.22041567,-42.91821148,3.4,1.82,20.15,-12.68,0.51,10.52,11.007,10.432
719,2.22083743,-35.81902966,0.25,1.21,11.28,-9.3,1.146,9.27,10.748,9.396
720,2.22356284,-22.17950257,3.16,0.96,-16.75,-6.16,1.64,7.13,9.245,7.31
721,2.23047849,-26.22362939,2.6,1.43,-0.01,-7.67,1.053,9.14,10.474,9.241
722,2.23568502,12.804472,12.89,1.03,38.21,-36.92,0.537,8.48,9.094,8.519
723,2.23740813,66.45664771,31.34,2.1,174.82,5.96,0.885,8.57,9.734,8.705
724,2.24674499,-21.20630061,7.86,1.07,33.7,-21.63,1.087,7.21,8.613,7.336
725,2.24799593,34.36795586,1.01,1.33,-9.46,-10.28,1.64,9.05,11.184,9.206
726,2.24830416,-39.73711336,18.22,0.95,113.13,-18.8,0.62,7.72,8.487,7.793
727,2.24977114,49.85810859,7.7,0.96,-21.11,-12.25,0.364,8.03,8.432,8.048
728,2.25065511,28.24755645,8.65,0.94,5.9,-5.62,0.242,6.47,6.771,6.498
729,2.2597423,18.21202529,11.17,0.72,140.93,-25.57,1.043,5.57,6.902,5.675
730,2.25978189,-54.00196301,7.0,0.74,46.45,13.08,0.738,6.32,7.236,6.41
