name,raj2000,dej2000,dist,pmra,pmde,rv,rcluster,n_star
FSR 0584,36.8025,61.628,2009.0,3.30556E-7,1.52778E-7,,0.093,9475
FSR 0591,36.915,58.758,2297.0,-2.72222E-7,4.22222E-7,,0.1,10388
Tombaugh 4,37.29,61.785,3700.0,2.52778E-7,-7.55556E-7,,0.12,11772
Teutsch 55,37.35,62.07,2006.0,-5.55556E-8,-7.30556E-7,,0.115,11545
FSR 0568,37.23,72.19,2301.0,-6.83333E-7,7.77778E-8,,0.16,6635
Stock 7,37.4325,60.675,850.0,-6.61111E-7,-3.69444E-7,-3.67,0.145,12587
FSR 0617,37.4175,51.895,4000.0,4.80556E-7,1.47222E-7,,0.09,5749
FSR 0596,37.4325,58.1,1417.0,-4.13889E-7,8.25E-7,-52.0,0.135,11954
FSR 0620,37.6725,51.805,2200.0,-5.80556E-7,3.11111E-7,,0.18,8395
FSR 0569,37.785,72.48,2375.0,-4.61111E-7,3.13889E-7,,0.13,5548
NGC 956,37.995,44.58,2613.0,2.72222E-7,1.94444E-8,,0.14,4669
IC 1805,38.1825,61.455,1700.0,-3.88889E-7,-6.19444E-7,-48.5,0.27,22627
Czernik 8,38.2545,58.768,1410.0,-1.66667E-7,-7.22222E-8,,0.09,10101
NGC 957,38.3775,57.573,1900.0,-2.80556E-7,3.86111E-7,-40.88,0.29,21923
Czernik 9,38.385,59.875,1900.0,-7.27778E-7,-8.58333E-7,,0.09,10281
Czernik 10,38.475,60.18,2500.0,-1.20278E-6,-7.94444E-7,,0.09,9599
SAI 21,38.7075,62.588,1900.0,-3.47222E-7,-5.83333E-7,,0.09,9114
King 4,39.0225,59.025,2801.0,-4.83333E-7,-2.5E-8,-58.3,0.18,15192
Czernik 11,39.144,59.634,1500.0,-3.41667E-7,-8.63889E-7,,0.13,12148
Trumpler 2,39.3675,55.95,670.0,2.16667E-7,-1.11111E-6,-27.5,0.44,29929
FSR 0611,39.3825,56.405,1000.0,5.80556E-7,-9.66667E-7,,0.165,12262
Berkeley 65,39.75,60.4,2501.0,3.33333E-8,-7.13889E-7,,0.11,10542
Czernik 12,39.843,54.913,2000.0,-2.16667E-7,-9.44444E-8,,0.125,9316
NGC 1039,40.5495,42.79,510.0,-7.77778E-8,-1.86944E-6,-18.2,0.73,20140
FSR 0614,40.62,56.735,2787.0,4.72222E-8,-7.38889E-7,,0.13,11091
NGC 1027,40.665,61.62,950.0,-6.16667E-7,-2.30556E-7,15.0,0.235,19085
Czernik 13,41.1135,62.318,4101.0,8.05556E-8,-8.88889E-8,,0.1,10649
ASCC 9,41.745,57.745,2901.0,-8.88889E-8,-6.94444E-7,-41.75,0.21,16160
Teutsch 162,41.9175,61.973,1600.0,-4.02778E-7,-4.33333E-7,,0.11,11446
IRAS 02459+6029,42.6975,60.65,12998.0,-6.44444E-7,7.55556E-7,,0.07,9732
IC 1848,42.777,60.41,1500.0,-2.19444E-7,-2.47222E-7,-47.38,0.27,22310
FSR 0576,42.9225,69.245,5200.0,1.16944E-6,-5.0E-8,,0.11,4115
IRAS 02497+6217,43.6275,62.525,2056.0,2.19444E-7,-3.94444E-7,,0.215,15330
IRAS 02511+6023,43.815,60.6,2028.0,-4.13889E-7,-2.55556E-7,,0.07,8644
FSR 0581,44.0265,68.825,930.0,2.11111E-7,-8.44444E-7,,0.14,5651
IRAS 02541+6208,44.82,62.3,2273.0,4.13889E-7,-2.11111E-7,-53.17,0.32,21416
Collinder 33,44.8155,60.3,1100.0,6.72222E-7,1.47222E-7,18.0,0.24,17810
SAI 24,44.865,60.55,1000.0,-3.94444E-7,-5.55556E-8,-40.0,0.115,10336
SAI 25,45.0975,57.285,2300.0,5.66667E-7,5.38889E-7,,0.135,13389
IRAS 02575+6017,45.327,60.503,3465.0,6.05556E-7,1.86111E-7,-39.06,0.09,9056
Berkeley 66,46.0155,58.74,7002.0,7.80556E-7,8.33333E-9,-50.65,0.115,12889
NGC 1193,46.47,44.38,6000.0,-4.08333E-7,1.16667E-7,-82.0,0.08,3700
FSR 0612,47.55,64.28,1900.0,1.61111E-7,-5.11111E-7,,0.09,7075
NGC 1252,47.7,-57.76,944.0,1.41389E-6,1.43889E-6,,0.25,1652
NGC 1220,47.922,53.347,2100.0,8.33333E-8,1.11111E-7,,0.085,7687
Trumpler 3,48.0525,63.15,620.0,-5.0E-7,4.44444E-7,-8.58,0.47,29526
NGC 1261,48.0675,-55.216,16298.0,-6.61111E-7,-1.90556E-6,68.2,0.145,1465
NGC 1245,48.7005,47.253,3000.0,-5.72222E-7,4.61111E-7,-29.5,0.37,16448
King 5,48.693,52.697,2200.0,1.66667E-7,1.11111E-7,-52.0,0.225,12885
Stock 23,49.23,60.015,450.0,-3.75E-7,-3.61111E-7,-16.75,0.28,19063
Czernik 14,49.2675,58.605,2200.0,9.16667E-8,-6.83333E-7,,0.07,7881
FSR 0627,50.085,60.26,1933.0,-2.47222E-7,-7.11111E-7,,0.07,7527
Czernik 15,50.8005,52.233,2500.0,3.94444E-7,-2.77778E-9,,0.075,6440
FSR 0628,50.8005,60.55,5001.0,-3.94444E-7,-1.21667E-6,,0.1,8646
Alpha Persei,51.675,48.8,175.0,5.96944E-6,-7.25278E-6,-1.44,6.1,1643193
