#time X Y Z
2018-05-03_05:34:41 -9.263926693777809E7 -4.01642794678504E7 -1.119592269749778E8
2018-05-03_23:05:53 -9.391863889047456E7 -4.071891511887628E7 -1.1072348542172082E8
2018-05-04_16:37:05 -9.518366200766838E7 -4.1267320840053216E7 -1.0947071623570037E8
2018-05-05_10:08:17 -9.643414994533439E7 -4.180941715093101E7 -1.0820110296612778E8
2018-05-06_03:39:29 -9.766991636178914E7 -4.234512470824174E7 -1.0691483187628917E8
2018-05-06_21:10:41 -9.889077509289843E7 -4.2874364355611965E7 -1.0561209214692311E8
2018-05-07_14:41:53 -1.0009654030908126E8 -4.339705716780445E7 -1.0429307603284235E8
2018-05-08_08:13:05 -1.012870266473834E8 -4.391312448587246E7 -1.0295797899167037E8
2018-05-09_01:44:17 -1.0246204931605929E8 -4.44224879419066E7 -1.0160699980372208E8
2018-05-09_19:15:29 -1.0362142417133029E8 -4.492506947294674E7 -1.0024034070564531E8
2018-05-10_12:46:41 -1.0476496777255435E8 -4.54207913255655E7 -9.885820756324673E7
2018-05-11_06:17:53 -1.0589249743233423E8 -4.590957605556401E7 -9.746081011076581E7
2018-05-11_23:49:05 -1.0700383129380128E8 -4.639134653257306E7 -9.60483622776481E7
2018-05-12_17:20:17 -1.080987884817418E8 -4.6866025965116024E7 -9.462108260940017E7
2018-05-13_10:51:29 -1.0917718938368237E8 -4.73335379669802E7 -9.317919476273382E7
2018-05-14_04:22:41 -1.1023885611309694E8 -4.77938066871029E7 -9.172292802300958E7
2018-05-14_21:53:53 -1.1128361318602519E8 -4.824675702056954E7 -9.025251776153801E7
2018-05-15_15:25:05 -1.1231128840659241E8 -4.869231490746676E7 -8.876820572993359E7
2018-05-16_08:56:17 -1.1332171391007002E8 -4.913040770948544E7 -8.727024009099615E7
2018-05-17_02:27:29 -1.1431472727003393E8 -4.956096463694406E7 -8.57588751076045E7
2018-05-17_19:58:41 -1.1529017254005165E8 -4.99839171812084E7 -8.423437046682161E7
2018-05-18_13:29:53 -1.1624790110803008E8 -5.039919950601601E7 -8.269699025379059E7
2018-05-19_07:01:05 -1.1718777223914658E8 -5.080674874378936E7 -8.11470016830346E7
2018-05-20_00:32:17 -1.1810965325080281E8 -5.1206505165787905E7 -7.958467370208353E7
2018-05-20_18:03:29 -1.1901341930641642E8 -5.1598412208831385E7 -7.8010275620692E7
2018-05-21_11:34:41 -1.1989895287755571E8 -5.1982416366283685E7 -7.642407589701027E7
2018-05-22_05:05:53 -1.2076614296487942E8 -5.235846696951546E7 -7.482634117728402E7
2018-05-22_22:37:05 -1.216148841885915E8 -5.2726515898039855E7 -7.321733563322873E7
2018-05-23_16:08:17 -1.224450758531951E8 -5.308651725838337E7 -7.159732059175709E7
2018-05-24_09:39:29 -1.2325662106661925E8 -5.343842706535137E7 -6.996655441366468E7
2018-05-25_03:10:41 -1.2404942595957612E8 -5.378220294760972E7 -6.832529255989306E7
2018-05-25_20:41:53 -1.2482339901881562E8 -5.411780388692572E7 -6.667378778558057E7
2018-05-26_14:13:05 -1.2557845052636725E8 -5.444518999088277E7 -6.501229041694261E7
2018-05-27_07:44:17 -1.2631449208921991E8 -5.476432229449697E7 -6.334104868501744E7
2018-05-28_01:15:29 -1.2703143624776202E8 -5.507516258668241E7 -6.166030910510544E7
2018-05-28_18:46:41 -1.2772919616072203E8 -5.537767326098295E7 -5.997031689638714E7
2018-05-29_12:17:53 -1.2840768537222616E8 -5.5671817193566024E7 -5.8271316432984486E7
2018-05-30_05:49:05 -1.2906681766827025E8 -5.595755765293419E7 -5.6563551709619045E7
2018-05-30_23:20:17 -1.297065070240639E8 -5.623485824410706E7 -5.4847266798377834E7
2018-05-31_16:51:29 -1.3032666763348867E8 -5.6503682886034764E7 -5.3122706272118494E7
2018-06-01_10:22:41 -1.3092721400187922E8 -5.6763995816450216E7 -5.139011557626662E7
2018-06-02_03:53:53 -1.3150806107801473E8 -5.7015761615292944E7 -4.964974134210827E7
2018-06-02_21:25:05 -1.3206912440266094E8 -5.725894523749694E7 -4.790183164605566E7
2018-06-03_14:56:17 -1.3261032025756076E8 -5.749351204803498E7 -4.614663622733326E7
2018-06-04_08:27:29 -1.331315658078404E8 -5.771942785580638E7 -4.438440667583459E7
2018-06-05_01:58:41 -1.3363277923417273E8 -5.793665894464629E7 -4.261539660782047E7
2018-06-05_19:29:53 -1.34113879860246E8 -5.8145172104073316E7 -4.083986181759856E7
2018-06-06_13:01:05 -1.34574788267222E8 -5.8344934656365775E7 -3.9058060434688784E7
2018-06-07_06:32:17 -1.3501542639838526E8 -5.8535914480809025E7 -3.727025307912554E7
2018-06-08_00:03:29 -1.354357176535773E8 -5.871808003294361E7 -3.547670304360316E7
2018-06-08_17:34:41 -1.358355869883837E8 -5.889140036162178E7 -3.367767652802851E7
2018-06-09_11:05:53 -1.3621496105085555E8 -5.905584513330017E7 -3.187344295369301E7
2018-06-10_04:37:05 -1.365737684081672E8 -5.921138468184612E7 -3.0064275365084816E7
2018-06-10_22:08:17 -1.3691193992537397E8 -5.935799010868141E7 -2.825045089586062E7
2018-06-11_15:39:29 -1.3722940935086593E8 -5.949563345896851E7 -2.643225123283644E7
2018-06-12_09:10:41 -1.375261141329634E8 -5.962428799161707E7 -2.4609962973126534E7
2018-06-13_02:41:53 -1.3780199644260168E8 -5.97439285441321E7 -2.2783877748615935E7
2018-06-13_20:13:05 -1.380570043186978E8 -5.985453197072535E7 -2.0954292001355182E7
2018-06-14_13:44:17 -1.382910928017262E8 -5.9956077609492846E7 -1.9121506336342126E7
2018-06-15_07:15:29 -1.3850422489350793E8 -6.004854771852466E7 -1.728582444875587E7
2018-06-16_00:46:41 -1.3869637218862477E8 -6.013192781716705E7 -1.544755170375896E7
2018-06-16_18:17:53 -1.3886751506655622E8 -6.020620687944475E7 -1.36069935208557E7
2018-06-17_11:49:05 -1.3901764240537176E8 -6.027137735030235E7 -1.1764453755036583E7
