Name,RAJ2000,DEJ2000,Dist,Kmag,Bmag,a26,b/a,HRV,i,TT,Mcl
FM1,146.29166666666666,68.76499999999999,3.4,13.12,17.5,0.89,0.89,,33,-3,Sph
GARLAND,150.92499999999998,68.69333333333333,3.82,14.18,16.8,3.98,0.6,43,62,10,Ir
NGC3077,150.83749999999998,68.73388888888888,3.82,7.32,10.62,6.46,0.83,19,38,9,dEem
ClumpIII,150.16833333333332,68.66027777777776,3.6,17.17,19.8,0.1,0.95,-121,20,10,Ir
[CKT2009]d0959+68,149.88791666666665,68.65694444444443,3.6,15.36,18.0,0.79,0.7,-186,52,10,Ir
KDG061,149.26125,68.59166666666665,3.6,10.86,15.24,1.41,0.58,221,64,-1,Sph
ClumpI,149.3383333333333,68.71527777777777,3.6,17.17,19.8,0.18,0.72,-165,50,10,Ir
HolmIX,149.385,69.04305555555554,3.61,11.86,14.53,2.63,0.8,50,41,10,Ir
MESSIER081,148.88958333333332,69.06666666666666,3.63,3.83,7.79,28.18,0.52,-38,62,3," "
A0952+69,149.3708333333333,69.27222222222221,3.87,14.11,16.8,1.82,0.53,99,69,10,Ir
MESSIER082,148.9745833333333,69.68249999999999,3.53,4.67,9.06,11.48,0.38,183,69,8," "
UGC05423,151.37749999999997,70.36444444444443,8.71,11.99,14.42,1.07,0.67,348,55,10,Ir
[CKT2009]d1009+70,152.39541666666665,70.5486111111111,9.0,13.36,18.0,0.72,0.85,,35,-1,Sph
[CKT2009]d0944+69,146.09374999999997,69.21111111111111,3.98,16.52,21.0,0.2,0.99,,10,-3,Sph
[CKT2009]d0934+70,143.51541666666665,70.21583333333332,3.66,14.18,19.3,0.59,0.86,,37,-3,Sph
[CKT2009]d0955+70,148.80666666666664,70.40805555555555,3.93,14.81,19.5,0.35,0.87,,36,-3,Sph
DDO078,156.61624999999998,67.65666666666665,3.72,12.29,16.5,2.0,0.95,55,22,-3,Sph
KDG073,163.23791666666665,69.54583333333332,3.7,14.73,17.09,1.2,0.83,116,38,10,Ir
IC2574,157.0933333333333,68.4161111111111,4.02,7.95,10.8,13.18,0.41,43,67,8," "
HIJASS J1021+6842,155.2508333333333,68.69999999999999,3.7,,,,,46,,11,Ir
[CKT2009]d1028+70,157.16541666666666,70.2336111111111,4.0,13.69,16.2,0.71,0.77,-114,45,10,Ir
[CKT2009]d1041+70,160.31999999999996,70.15083333333332,3.91,16.98,19.6,0.35,0.6,,62,10,Ir
DDO082,157.64583333333331,70.61944444444444,4.0,10.29,13.49,3.39,0.59,56,63,9,Im
HS117,155.355,71.1161111111111,3.96,14.5,17.3,1.51,0.6,-37,62,10,Tr
NGC2403,114.21416666666666,65.59944444444443,3.18,6.19,8.8,28.18,0.56,125,57,6," "
DDO053,128.5270833333333,66.17916666666666,3.56,12.77,14.55,2.0,0.87,19,33,10,Ir
DDO044,113.54708333333332,66.8861111111111,3.19,11.37,15.64,2.82,0.67,213,62,-3,Sph
HolmII,124.76666666666665,70.71416666666666,3.39,8.0,11.1,8.91,0.86,157,34,9,Im
NGC2366,112.22749999999998,69.20527777777777,3.19,9.14,11.68,7.24,0.36,96,90,10,Ir
NGC2787,139.8275,69.20333333333332,7.48,7.26,11.82,3.31,0.63,700,55,1," "
UGC04483,129.2625,69.77527777777777,3.21,13.33,14.95,1.32,0.58,156,64,10,Ir
[CKT2009]d0926+70,141.61624999999998,70.50666666666666,3.93,15.74,19.0,0.4,0.75,,47,10,Tr
HolmI,145.13458333333332,71.18638888888889,3.84,11.2,13.64,4.57,0.81,139,40,10,Ir
[CKT2009]d0939+71,144.81624999999997,71.31166666666665,3.63,17.09,19.6,0.35,0.85,,35,10,Tr
[CKT2009]d0944+71,146.14333333333332,71.48249999999999,3.39,12.47,16.7,0.89,0.62,,60,-1,Tr
KDG052,125.98333333333332,71.02944444444444,3.55,13.63,16.35,1.26,0.92,116,26,10,Ir
UGC06456,172.00249999999997,78.99138888888888,4.35,12.48,14.27,1.48,0.53,-94,69,10,Ir
KKH37,101.94083333333332,80.12388888888887,3.39,13.75,16.4,1.15,0.67,11,55,10,Ir
BootesI,209.99999999999997,14.499999999999998,0.07,9.49,13.66,20.0,0.61,99,64,-2,Sph
DDO187,213.98541666666662,23.055277777777775,2.2,12.46,14.38,1.7,0.76,160,46,10,Ir
KKR25,243.4483333333333,54.371111111111105,1.86,12.86,17.0,1.1,0.59,-79,63,-1,Sph
Draco,260.00583333333327,57.90944444444444,0.08,6.69,10.9,35.48,0.69,-296,59,-3,Sph
UGC08638,204.83083333333332,24.77583333333333,4.27,11.53,14.47,1.66,0.67,276,55,10,Ir
AGC238890,203.12624999999997,25.123611111111106,6.8,14.2,16.6,0.83,0.63,360,59,9,BCD
AGC732602,200.26999999999998,24.14333333333333,7.2,14.71,17.1,0.62,0.43,925,83,10,Ir
BootesIII,209.2808333333333,26.774999999999995,0.05,8.41,12.6,56.0,0.65,198,64,-3,Sph
CVnI,202.0145833333333,33.555833333333325,0.22,9.79,13.94,14.3,0.61,31,70,-3,Sph
CGCG 189-050,199.27041666666665,37.95249999999999,5.04,13.2,15.6,0.85,0.77,324,45,9,BCD
KK230,211.7945833333333,35.06027777777777,2.14,14.55,17.5,0.76,0.83,63,38,10,Ir
UGC08833,208.70291666666662,35.83749999999999,3.08,12.31,15.3,1.17,0.89,221,30,10,Ir
MRK0475,219.77249999999998,36.80611111111111,9.2,14.01,16.41,0.45,0.75,583,47,9,BCD
DDO190,216.18124999999998,44.525833333333324,2.74,10.72,13.1,2.4,0.89,150,30,9,Im
DDO183,207.71291666666664,38.021111111111104,3.22,12.04,14.45,2.4,0.32,188,90,10,Ir
KK227,209.0420833333333,40.30333333333333,10.0,13.36,17.5,0.71,0.81,,42,-2,Ir
DDO182,205.6358333333333,39.658333333333324,8.9,13.3,15.69,1.32,0.74,663,48,10,Ir
DDO181,204.97416666666663,40.73916666666666,3.01,11.85,14.22,2.4,0.57,214,65,10,Ir
MCG +08-25-028,204.18666666666664,44.59916666666666,7.74,13.49,15.9,0.95,0.52,480,70,10,Ir
NGC4656,190.98999999999998,32.17027777777777,5.4,8.0,10.96,12.88,0.15,638,87,8," "
KK165,192.2195833333333,31.970277777777774,5.4,13.34,17.5,0.72,0.93,,24,-1,Tr
FGC1497,191.75249999999997,32.65138888888888,23.4,14.13,16.8,1.07,0.17,519,84,8," "
BTS151,190.85249999999996,32.48222222222222,7.3,13.24,17.4,0.78,0.61,,64,-2,Sph
NGC4631,190.5333333333333,32.54138888888888,7.38,6.47,9.75,16.6,0.17,583,86,7," "
NGC4627,190.49874999999997,32.573611111111106,7.3,8.85,13.01,1.82,0.69,542,59,-3," "
LV J1243+3232,190.9358333333333,32.53444444444444,7.3,14.84,19.0,0.35,0.65,,57,-1,Sph
LV J1241+3251,190.4470833333333,32.85777777777777,7.3,13.98,16.4,0.79,0.57,693,65,10,Ir
UGCA292,189.66666666666663,32.76666666666666,3.61,14.24,16.07,1.02,0.7,308,52,10,Ir
DDO143,191.1045833333333,34.38638888888888,9.1,13.58,16.0,2.24,0.36,607,90,10,Ir
